e4_condition_key,batch_id,condition_id,task_id,course_name,topic,profile_id,agent_id,repeat,provider,model,initial_status,repair_affected,final_status
code_v2_5_retest|COA-01|P1|code|r1,code_v2_5_retest,COA-01|P1|code|r1,COA-01,计算机组成原理,Cache 映射与替换,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|COA-01|P2|code|r1,code_v2_5_retest,COA-01|P2|code|r1,COA-01,计算机组成原理,Cache 映射与替换,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|COA-01|P3|code|r1,code_v2_5_retest,COA-01|P3|code|r1,COA-01,计算机组成原理,Cache 映射与替换,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|COA-02|P1|code|r1,code_v2_5_retest,COA-02|P1|code|r1,COA-02,计算机组成原理,流水线数据冒险,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|COA-02|P2|code|r1,code_v2_5_retest,COA-02|P2|code|r1,COA-02,计算机组成原理,流水线数据冒险,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|COA-02|P3|code|r1,code_v2_5_retest,COA-02|P3|code|r1,COA-02,计算机组成原理,流水线数据冒险,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|DSA-01|P1|code|r1,code_v2_5_retest,DSA-01|P1|code|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|DSA-01|P2|code|r1,code_v2_5_retest,DSA-01|P2|code|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|DSA-01|P3|code|r1,code_v2_5_retest,DSA-01|P3|code|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|DSA-02|P1|code|r1,code_v2_5_retest,DSA-02|P1|code|r1,DSA-02,数据结构与算法,红黑树,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|DSA-02|P2|code|r1,code_v2_5_retest,DSA-02|P2|code|r1,DSA-02,数据结构与算法,红黑树,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|DSA-02|P3|code|r1,code_v2_5_retest,DSA-02|P3|code|r1,DSA-02,数据结构与算法,红黑树,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|OS-02|P1|code|r1,code_v2_5_retest,OS-02|P1|code|r1,OS-02,操作系统,虚拟内存与页表,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|OS-02|P2|code|r1,code_v2_5_retest,OS-02|P2|code|r1,OS-02,操作系统,虚拟内存与页表,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
code_v2_5_retest|OS-02|P3|code|r1,code_v2_5_retest,OS-02|P3|code|r1,OS-02,操作系统,虚拟内存与页表,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|COA-01|P1|code|r1,doc_code_retest,COA-01|P1|code|r1,COA-01,计算机组成原理,Cache 映射与替换,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|COA-01|P1|doc|r1,doc_code_retest,COA-01|P1|doc|r1,COA-01,计算机组成原理,Cache 映射与替换,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|COA-01|P2|code|r1,doc_code_retest,COA-01|P2|code|r1,COA-01,计算机组成原理,Cache 映射与替换,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|COA-01|P2|doc|r1,doc_code_retest,COA-01|P2|doc|r1,COA-01,计算机组成原理,Cache 映射与替换,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|COA-01|P3|code|r1,doc_code_retest,COA-01|P3|code|r1,COA-01,计算机组成原理,Cache 映射与替换,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|COA-01|P3|doc|r1,doc_code_retest,COA-01|P3|doc|r1,COA-01,计算机组成原理,Cache 映射与替换,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|COA-02|P1|code|r1,doc_code_retest,COA-02|P1|code|r1,COA-02,计算机组成原理,流水线数据冒险,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|COA-02|P1|doc|r1,doc_code_retest,COA-02|P1|doc|r1,COA-02,计算机组成原理,流水线数据冒险,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|COA-02|P2|code|r1,doc_code_retest,COA-02|P2|code|r1,COA-02,计算机组成原理,流水线数据冒险,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|COA-02|P2|doc|r1,doc_code_retest,COA-02|P2|doc|r1,COA-02,计算机组成原理,流水线数据冒险,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|COA-02|P3|code|r1,doc_code_retest,COA-02|P3|code|r1,COA-02,计算机组成原理,流水线数据冒险,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|COA-02|P3|doc|r1,doc_code_retest,COA-02|P3|doc|r1,COA-02,计算机组成原理,流水线数据冒险,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|DSA-01|P1|code|r1,doc_code_retest,DSA-01|P1|code|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|DSA-01|P1|doc|r1,doc_code_retest,DSA-01|P1|doc|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|DSA-01|P2|code|r1,doc_code_retest,DSA-01|P2|code|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|DSA-01|P2|doc|r1,doc_code_retest,DSA-01|P2|doc|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|DSA-01|P3|code|r1,doc_code_retest,DSA-01|P3|code|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
