case_id,modality,course,executed_at,service_used,service_configured,input_artifact,observed_output,task_success,intent_retained,key_info_retained,routed_correctly,output_acceptable,failure_type,elapsed_ms,cost_cny,notes
E3-TEXT-ML-01,text,机器学习,2026/7/31,frontend_route_static_check,yes,inline_text,"Static check: Workspace topicInput is submitted to workspaceStore.start, which POSTs topic to /api/workspace/generate; full resource generation not invoked.",yes,yes,yes,yes,yes,none,0,0,静态入口/路由检查；未触发资源生成 LLM。
E3-TEXT-DSA-01,text,数据结构与算法,2026/7/31,frontend_route_static_check,yes,inline_text,"Static check: Workspace topicInput is submitted to workspaceStore.start, which POSTs topic to /api/workspace/generate; full resource generation not invoked.",yes,yes,yes,yes,yes,none,0,0,静态入口/路由检查；未触发资源生成 LLM。
E3-TEXT-OS-01,text,操作系统,2026/7/31,frontend_route_static_check,yes,inline_text,"Static check: Workspace topicInput is submitted to workspaceStore.start, which POSTs topic to /api/workspace/generate; full resource generation not invoked.",yes,yes,yes,yes,yes,none,0,0,静态入口/路由检查；未触发资源生成 LLM。
E3-TEXT-COA-01,text,计算机组成原理,2026/7/31,frontend_route_static_check,yes,inline_text,"Static check: Workspace topicInput is submitted to workspaceStore.start, which POSTs topic to /api/workspace/generate; full resource generation not invoked.",yes,yes,yes,yes,yes,none,0,0,静态入口/路由检查；未触发资源生成 LLM。
E3-TEXT-NET-01,text,计算机网络,2026/7/31,frontend_route_static_check,yes,inline_text,"Static check: Workspace topicInput is submitted to workspaceStore.start, which POSTs topic to /api/workspace/generate; full resource generation not invoked.",yes,yes,yes,yes,yes,none,0,0,静态入口/路由检查；未触发资源生成 LLM。
E3-IMAGE-ML-01,image,机器学习,2026/7/31,qwen-vl /api/ocr/topic,yes,assets/images/E3-IMAGE-ML-01.png,梯度下降算法,yes,yes,yes,yes,yes,none,828,,受控合成图片；每例调用一次视觉识题；实际账单费用未在本地日志中计量。
E3-IMAGE-DSA-01,image,数据结构与算法,2026/7/31,qwen-vl /api/ocr/topic,yes,assets/images/E3-IMAGE-DSA-01.png,Dijkstra最短路径算法,yes,yes,yes,yes,yes,none,862,,受控合成图片；每例调用一次视觉识题；实际账单费用未在本地日志中计量。
E3-IMAGE-OS-01,image,操作系统,2026/7/31,qwen-vl /api/ocr/topic,yes,assets/images/E3-IMAGE-OS-01.png,虚拟内存与页表机制,yes,yes,yes,yes,yes,none,1181,,受控合成图片；每例调用一次视觉识题；实际账单费用未在本地日志中计量。
E3-IMAGE-COA-01,image,计算机组成原理,2026/7/31,qwen-vl /api/ocr/topic,yes,assets/images/E3-IMAGE-COA-01.png,缓存映射与替换策略,yes,yes,yes,yes,yes,none,907,,受控合成图片；每例调用一次视觉识题；实际账单费用未在本地日志中计量。
E3-IMAGE-NET-01,image,计算机网络,2026/7/31,qwen-vl /api/ocr/topic,yes,assets/images/E3-IMAGE-NET-01.png,TCP/TLS握手过程,yes,yes,yes,yes,yes,none,629,,受控合成图片；每例调用一次视觉识题；实际账单费用未在本地日志中计量。
E3-VOICE-ML-01,voice,机器学习,2026/7/31,cosyvoice_tts_test_audio + xfyun-asr,yes,assets/audio/E3-VOICE-ML-01.mp3,我想学习梯度下降和学习率，怎么影响收敛？,yes,yes,yes,yes,yes,none,7210,,TTS 生成受控语音样本，再经讯飞 ASR 转写；用于入口链路检查。
E3-VOICE-DSA-01,voice,数据结构与算法,2026/7/31,cosyvoice_tts_test_audio + xfyun-asr,yes,assets/audio/E3-VOICE-DSA-01.mp3,我想知道红黑树为什么要保持根节点为黑色？,yes,yes,yes,yes,yes,none,7349,,TTS 生成受控语音样本，再经讯飞 ASR 转写；用于入口链路检查。
E3-VOICE-OS-01,voice,操作系统,2026/7/31,cosyvoice_tts_test_audio + xfyun-asr,yes,assets/audio/E3-VOICE-OS-01.mp3,我想复习信号量和互斥锁的区别？,yes,yes,yes,yes,yes,none,6325,,TTS 生成受控语音样本，再经讯飞 ASR 转写；用于入口链路检查。
E3-VOICE-COA-01,voice,计算机组成原理,2026/7/31,cosyvoice_tts_test_audio + xfyun-asr,yes,assets/audio/E3-VOICE-COA-01.mp3,不想理解流水线数据冒险和forwarding。,no,no,yes,yes,no,recognition_error,6622,,ASR 保留“流水线/数据冒险/forwarding”等关键术语，但将“我想理解”识别为“不想理解”，学习意图极性错误。
E3-VOICE-NET-01,voice,计算机网络,2026/7/31,cosyvoice_tts_test_audio + xfyun-asr,yes,assets/audio/E3-VOICE-NET-01.mp3,请帮我理解h tips和tls握手过程。,yes,yes,yes,yes,yes,none,13531,,ASR 将 HTTPS 识别为“h tips”，但 TLS 与握手过程保留，后续学习主题仍可用。
