condition_id,task_id,profile_id,agent_id,repeat,course_name,topic,deepseek_factual_correctness,qwen_factual_correctness,deepseek_factual_pass,qwen_factual_pass,deepseek_major_error,qwen_major_error,deepseek_quality_floor_pass,qwen_quality_floor_pass,deepseek_answer_consistency,qwen_answer_consistency,deepseek_structurally_valid,qwen_structurally_valid
SUPP-COA-01|P1|code|r1,SUPP-COA-01,P1,code,r1,计算机组成原理,Cache 写直达、写回与写分配,major_error,minor_error,False,False,True,False,False,True,no,yes,yes,yes
SUPP-COA-01|P1|doc|r1,SUPP-COA-01,P1,doc,r1,计算机组成原理,Cache 写直达、写回与写分配,pass,minor_error,True,False,False,False,True,True,na,na,na,na
SUPP-COA-01|P1|path|r1,SUPP-COA-01,P1,path,r1,计算机组成原理,Cache 写直达、写回与写分配,pass,pass,True,True,False,False,True,True,na,na,na,na
SUPP-COA-01|P2|code|r1,SUPP-COA-01,P2,code,r1,计算机组成原理,Cache 写直达、写回与写分配,minor_error,major_error,False,False,False,True,True,False,yes,no,yes,yes
SUPP-COA-01|P2|doc|r1,SUPP-COA-01,P2,doc,r1,计算机组成原理,Cache 写直达、写回与写分配,pass,pass,True,True,False,False,True,True,na,na,na,na
SUPP-COA-01|P2|path|r1,SUPP-COA-01,P2,path,r1,计算机组成原理,Cache 写直达、写回与写分配,pass,pass,True,True,False,False,True,True,na,na,na,na
SUPP-COA-01|P3|code|r1,SUPP-COA-01,P3,code,r1,计算机组成原理,Cache 写直达、写回与写分配,pass,major_error,True,False,False,True,True,False,yes,no,yes,yes
SUPP-COA-01|P3|doc|r1,SUPP-COA-01,P3,doc,r1,计算机组成原理,Cache 写直达、写回与写分配,minor_error,pass,False,True,False,False,True,True,na,na,na,na
SUPP-COA-01|P3|path|r1,SUPP-COA-01,P3,path,r1,计算机组成原理,Cache 写直达、写回与写分配,pass,pass,True,True,False,False,True,True,na,na,na,na
SUPP-COA-02|P1|code|r1,SUPP-COA-02,P1,code,r1,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,minor_error,pass,False,True,False,False,True,True,yes,yes,yes,yes
SUPP-COA-02|P1|doc|r1,SUPP-COA-02,P1,doc,r1,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,pass,pass,True,True,False,False,True,True,na,na,na,na
SUPP-COA-02|P1|path|r1,SUPP-COA-02,P1,path,r1,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,pass,pass,True,True,False,False,True,True,na,na,na,na
SUPP-COA-02|P2|code|r1,SUPP-COA-02,P2,code,r1,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,major_error,minor_error,False,False,True,False,False,True,no,no,yes,yes
SUPP-COA-02|P2|doc|r1,SUPP-COA-02,P2,doc,r1,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,pass,pass,True,True,False,False,True,True,na,na,na,na
SUPP-COA-02|P2|path|r1,SUPP-COA-02,P2,path,r1,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,pass,pass,True,True,False,False,True,True,na,na,na,na
SUPP-COA-02|P3|code|r1,SUPP-COA-02,P3,code,r1,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,minor_error,pass,False,True,False,False,True,True,no,yes,yes,yes
SUPP-COA-02|P3|doc|r1,SUPP-COA-02,P3,doc,r1,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,minor_error,pass,False,True,False,False,True,True,na,na,na,na
SUPP-COA-02|P3|path|r1,SUPP-COA-02,P3,path,r1,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,pass,pass,True,True,False,False,True,True,na,na,na,na
SUPP-DSA-01|P1|code|r1,SUPP-DSA-01,P1,code,r1,数据结构与算法,哈希表冲突处理与负载因子,pass,pass,True,True,False,False,True,True,yes,yes,yes,yes
SUPP-DSA-01|P1|doc|r1,SUPP-DSA-01,P1,doc,r1,数据结构与算法,哈希表冲突处理与负载因子,pass,pass,True,True,False,False,True,True,na,na,na,na
SUPP-DSA-01|P1|path|r1,SUPP-DSA-01,P1,path,r1,数据结构与算法,哈希表冲突处理与负载因子,pass,pass,True,True,False,False,True,True,na,na,na,na
SUPP-DSA-01|P2|code|r1,SUPP-DSA-01,P2,code,r1,数据结构与算法,哈希表冲突处理与负载因子,pass,minor_error,True,False,False,False,True,True,yes,yes,yes,yes
SUPP-DSA-01|P2|doc|r1,SUPP-DSA-01,P2,doc,r1,数据结构与算法,哈希表冲突处理与负载因子,pass,pass,True,True,False,False,True,True,na,na,na,na
SUPP-DSA-01|P2|path|r1,SUPP-DSA-01,P2,path,r1,数据结构与算法,哈希表冲突处理与负载因子,pass,pass,True,True,False,False,True,True,na,na,na,na
