rerating_id,rater_id,batch_id,old_triplet_id,course_name,topic,agent_id,normalized_assignment,exact_profile_matches,full_match,pairwise_correct,pairwise_order_accuracy,extreme_pair_correct,extreme_reversed,confidence,indistinguishable
LC-T-93aee795fa4eec,R1,doc_contract_retest,E1-T-0684d144692a,数据结构与算法,Dijkstra 最短路径,doc,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-29ed94ac0acb58,R1,doc_contract_retest,E1-T-a24f500bfb88,操作系统,进程调度,doc,P2>P1>P3,1,False,2,0.6667,True,False,high,no
LC-T-bc1cdafe985890,R1,formal_phase_a_path,E1-T-7222dd4cc776,计算机网络,TCP 三次握手,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-e9b386e796ad4e,R1,formal_phase_a_path,E1-T-313dca3a6e2f,机器学习,梯度下降,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-07716924823197,R1,formal_phase_a_path,E1-T-2f5b8a9c60c4,计算机组成原理,虚地址翻译,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-4c82896b25980c,R1,formal_phase_a_path,E1-T-2f66e535db00,数据结构与算法,拓扑排序,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-7887762c64f425,R1,path_contract_retest,E1-T-2566f3288108,计算机网络,TCP 三次握手,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-1988ee0a3ac134,R1,doc_contract_retest,E1-T-4b6f6da1a50c,计算机组成原理,流水线数据冒险,doc,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-f16b96f883f3f3,R1,path_contract_retest,E1-T-a2c0d0c516d6,计算机组成原理,Cache 映射与替换,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-1f1fae557496df,R1,formal_phase_a_path,E1-T-fb5445ee1144,机器学习,K-Means 聚类,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-214734b2fd70e3,R1,formal_phase_a_path,E1-T-a47c831b7f0e,计算机组成原理,IEEE 754 浮点数,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-711f5ac6a156ed,R1,path_contract_retest,E1-T-a27b10ba39ee,机器学习,PCA 主成分分析,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-9108b236ef027b,R1,doc_contract_retest,E1-T-785619b1a2fd,操作系统,虚拟内存与页表,doc,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-1c0dcbced58eb3,R1,path_contract_retest,E1-T-cadd51c16b4f,计算机组成原理,虚地址翻译,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-7a473c5980d012,R1,formal_phase_a_path,E1-T-8820ddfbec2f,计算机组成原理,流水线数据冒险,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-7bb1234dff112d,R1,path_contract_retest,E1-T-d84fc3f8f77b,操作系统,信号量与互斥锁,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-f8f58d3da5ef7a,R1,formal_phase_a_path,E1-T-21b1cc0bf916,机器学习,决策树剪枝,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-0f5f5ef11bcac6,R1,doc_contract_retest,E1-T-df1d082acd39,计算机网络,拥塞控制,doc,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-af7f6047b84ecb,R1,doc_contract_retest,E1-T-0602ec8ba608,机器学习,决策树剪枝,doc,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-e17c55beb88905,R1,formal_phase_a_path,E1-T-53cab9e99cd0,数据结构与算法,Dijkstra 最短路径,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-d2aaf5db2c43c6,R1,formal_phase_a_path,E1-T-00ec5a585c84,计算机组成原理,Cache 映射与替换,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-1f70c2b6a9dbf0,R1,formal_phase_a_path,E1-T-17dde9e63e68,机器学习,PCA 主成分分析,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-a834d1b0c6a214,R1,formal_phase_a_path,E1-T-0842c7060bba,操作系统,虚拟内存与页表,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-29ad8ced502b13,R1,path_contract_retest,E1-T-5df13c5e1abe,数据结构与算法,拓扑排序,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-a13d076f8c2c65,R1,doc_contract_retest,E1-T-573384d0b4fa,数据结构与算法,红黑树,doc,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-3af0ab4f049d8e,R1,path_contract_retest,E1-T-c633820265ec,计算机网络,HTTPS 与 TLS,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-0e007eb7656807,R1,doc_contract_retest,E1-T-54e2806843cb,计算机网络,TCP 三次握手,doc,P1>P2>P3,3,True,3,1.0,True,False,high,no
LC-T-a89f7389d47d6d,R1,formal_phase_a_path,E1-T-27505aea8283,计算机网络,HTTPS 与 TLS,path,P1>P2>P3,3,True,3,1.0,True,False,high,no
