triplet_id,course_name,topic,agent_id,repeat,decision_source,decision_maker,decided_at,assigned_p1_candidate,assigned_p2_candidate,assigned_p3_candidate,true_p1_candidate,true_p2_candidate,true_p3_candidate,exact_profile_matches,full_match,pairwise_correct,pairwise_total,pairwise_order_accuracy,extreme_pair_correct,extreme_reversed,confidence,indistinguishable,quality_passed_output_count,quality_failed_output_count,major_error_output_count,quality_eligible,quality_gated_full_match,quality_gated_extreme_correct,analysis_source
E1-T-00ec5a585c84,计算机组成原理,Cache 映射与替换,path,1,posthoc_interface_aligned_final,R1/R2 with R3 adjudication if triggered,2026-08-13,,,,,,,3,True,3,3,1.0,True,False,,,3,0,0,True,True,True,posthoc_interface_aligned_path
E1-T-01989894bc32,操作系统,虚拟内存与页表,reading,1,a_b_consensus,A+B,,Z,Y,X,Z,Y,X,3,True,3,3,1.0,True,False,high,no,3,0,0,True,True,True,historical_phase_a
E1-T-05336fb4a7e0,操作系统,信号量与互斥锁,path,1,posthoc_interface_aligned_final,R1/R2 with R3 adjudication if triggered,2026-08-13,,,,,,,3,True,3,3,1.0,True,False,,,3,0,0,True,True,True,posthoc_interface_aligned_path
E1-T-0733995c3191,机器学习,决策树剪枝,reading,1,a_b_consensus,A+B,,Y,X,Z,Y,X,Z,3,True,3,3,1.0,True,False,high,no,3,0,0,True,True,True,historical_phase_a
E1-T-07cd3cd37283,数据结构与算法,KMP 字符串匹配,doc,1,adjudication,H2,2026/7/29,X,Z,Y,Y,X,Z,0,False,1,3,0.333,False,True,high,no,3,0,0,True,False,False,historical_phase_a
E1-T-0842c7060bba,操作系统,虚拟内存与页表,path,1,posthoc_interface_aligned_final,R1/R2 with R3 adjudication if triggered,2026-08-13,,,,,,,3,True,3,3,1.0,True,False,,,3,0,0,True,True,True,posthoc_interface_aligned_path
E1-T-0b679557b184,机器学习,梯度下降,code,1,adjudication,H2,2026/7/29,X,Y,Z,X,Y,Z,3,True,3,3,1.0,True,False,high,no,2,1,0,False,False,False,historical_phase_a
E1-T-0f49ce567963,计算机网络,DNS 解析过程,doc,1,adjudication,H1,2026/7/30,X,Y,Z,X,Y,Z,3,True,3,3,1.0,True,False,medium,no,3,0,0,True,True,True,historical_phase_a
E1-T-13350ced7ba5,计算机网络,拥塞控制,path,1,posthoc_interface_aligned_final,R1/R2 with R3 adjudication if triggered,2026-08-13,,,,,,,3,True,3,3,1.0,True,False,,,3,0,0,True,True,True,posthoc_interface_aligned_path
E1-T-174326d7c399,计算机网络,拥塞控制,reading,1,a_b_consensus,A+B,,X,Y,Z,X,Y,Z,3,True,3,3,1.0,True,False,high,no,3,0,0,True,True,True,historical_phase_a
