triplet_id,rater_id,course_name,topic,agent_id,repeat,assigned_p1_candidate,assigned_p2_candidate,assigned_p3_candidate,true_p1_candidate,true_p2_candidate,true_p3_candidate,exact_profile_matches,full_match,pairwise_correct,pairwise_total,pairwise_order_accuracy,extreme_pair_correct,extreme_reversed,confidence,indistinguishable
E1-T-3fc789aa833a,A,机器学习,PCA 主成分分析,quiz,1,Z,X,Y,Z,X,Y,3,True,3,3,1.0,True,False,medium,no
E1-T-71547505f5da,A,机器学习,决策树剪枝,quiz,1,Y,Z,X,Y,Z,X,3,True,3,3,1.0,True,False,high,no
E1-T-53cab9e99cd0,A,数据结构与算法,Dijkstra 最短路径,path,1,Y,X,Z,Z,X,Y,1,False,0,3,0.0,False,True,high,no
E1-T-86d728e6504c,A,数据结构与算法,拓扑排序,quiz,1,X,Z,Y,X,Z,Y,3,True,3,3,1.0,True,False,high,no
E1-T-0b679557b184,A,机器学习,梯度下降,code,1,X,Y,Z,X,Y,Z,3,True,3,3,1.0,True,False,high,no
E1-T-a1f1768c8edc,A,操作系统,死锁四条件,doc,1,X,Z,Y,X,Y,Z,1,False,2,3,0.667,True,False,high,no
E1-T-1925060ed722,A,数据结构与算法,KMP 字符串匹配,quiz,1,Y,X,Z,Y,X,Z,3,True,3,3,1.0,True,False,high,no
E1-T-f5a446aa09b4,A,操作系统,进程调度,path,1,Y,X,Z,Z,X,Y,1,False,0,3,0.0,False,True,high,no
E1-T-1a6533c4a9c2,A,计算机组成原理,Cache 映射与替换,code,1,Z,X,Y,Z,Y,X,1,False,2,3,0.667,True,False,high,no
E1-T-2f66e535db00,A,数据结构与算法,拓扑排序,path,1,Y,X,Z,Z,X,Y,1,False,0,3,0.0,False,True,high,no
E1-T-0842c7060bba,A,操作系统,虚拟内存与页表,path,1,Y,Z,X,X,Z,Y,1,False,0,3,0.0,False,True,high,no
E1-T-89b1c58bf791,A,计算机网络,DNS 解析过程,quiz,1,Y,Z,X,Y,Z,X,3,True,3,3,1.0,True,False,high,no
E1-T-fa9a33a5a948,A,操作系统,虚拟内存与页表,code,1,Z,Y,X,Y,Z,X,1,False,2,3,0.667,True,False,high,no
E1-T-3b508c4e192e,A,计算机组成原理,流水线数据冒险,quiz,1,Z,Y,X,Z,Y,X,3,True,3,3,1.0,True,False,high,no
E1-T-313dca3a6e2f,A,机器学习,梯度下降,path,1,Z,Y,X,X,Y,Z,1,False,0,3,0.0,False,True,high,no
E1-T-a74182562833,A,操作系统,进程调度,reading,1,Y,X,Z,Y,X,Z,3,True,3,3,1.0,True,False,high,no
E1-T-8820ddfbec2f,A,计算机组成原理,流水线数据冒险,path,1,Y,X,Z,Z,X,Y,1,False,0,3,0.0,False,True,high,no
