dataset_id,dataset_label,review_id,course_code,course_name,topic,agent_id,final_factual_correctness,final_quality_floor_pass,error_category,evidence_or_reason
formal_phase_a_all_agents,正式阶段 A 全量 300,E1-Q-c0aa82955a6a,ML,机器学习,梯度下降,code,minor_error,no,execution_or_compilation_error,"沙箱执行失败：dw = (2/m) * X.T.dot(y_pred - y) 产生形状(1,100)矩阵，w -= lr * dw 触发 ValueError: non-broadcastable output operand with shape (1,) doesn't match the broadcast shape (1,100)。梯度更新逻辑有误，代码无法正常运行，需将w初始化为标量或修正dot方向"
reading_only_formal_subset,正式 Reading-only 60,E1-Q-334d20ca96cc,DSA,数据结构与算法,Dijkstra 最短路径,reading,minor_error,yes,reading_metadata_scope_error,"资源目录条目 DSA-01-F01（《算法导论》第4版, ISBN 9780262046305）scope 使用了第3版章号：BFS/DFS 标为“第22章”、单源最短路径标为“第24章”；第4版中图基础算法为第20章、单源最短路径为第22章。定位符与书目正确，仅章号与所标版本不符，属局部瑕疵，不影响该书对 Dijkstra 的权威覆盖。"
reading_only_formal_subset,正式 Reading-only 60,E1-Q-4dc841dec58d,DSA,数据结构与算法,Dijkstra 最短路径,reading,minor_error,yes,reading_metadata_scope_error,"资源目录条目 DSA-01-F01（《算法导论》第4版, ISBN 9780262046305）scope 使用了第3版章号：BFS/DFS 标为“第22章”、单源最短路径标为“第24章”；第4版中图基础算法为第20章、单源最短路径为第22章。定位符与书目正确，仅章号与所标版本不符，属局部瑕疵，不影响该书对 Dijkstra 的权威覆盖。"
reading_only_formal_subset,正式 Reading-only 60,E1-Q-d93034e4c7c2,DSA,数据结构与算法,拓扑排序,reading,minor_error,yes,reading_metadata_scope_error,"资源目录条目 DSA-04-F01（《算法导论》第4版, ISBN 9780262046305）scope 将拓扑排序定位为“第22.4节”，此为第3版章号；第4版中拓扑排序位于第20.4节。定位符与书目正确，仅章号与所标版本不符，属局部瑕疵，不影响内容有效性。"
reading_only_formal_subset,正式 Reading-only 60,E1-Q-f7929763ac0b,DSA,数据结构与算法,拓扑排序,reading,minor_error,yes,reading_metadata_scope_error,"资源目录条目 DSA-04-F01（《算法导论》第4版, ISBN 9780262046305）scope 将拓扑排序定位为“第22.4节”，此为第3版章号；第4版中拓扑排序位于第20.4节。定位符与书目正确，仅章号与所标版本不符，属局部瑕疵，不影响内容有效性。"
path_repair_v1,Path v2 复测,E1-Q-0095683b9cef,OS,操作系统,信号量与互斥锁,path,minor_error,yes,conceptual_overstatement_or_missing_condition,整体通过；“互斥锁是二值信号量的特例”表述偏简化，严格语义下需补充所有权/释放约束差异。
doc_code_repair_v1,Doc/Code v2 复测,E1-Q-98b7a222a257,COA,计算机组成原理,流水线数据冒险,code,minor_error,yes,pipeline_hazard_semantic_error,RISC-V RAW冒险示例结构可用，但sub结果应为20而非预期的-20。; 预期输出有符号错误。
doc_code_repair_v1,Doc/Code v2 复测,E1-Q-da2088ccf16f,COA,计算机组成原理,Cache 映射与替换,code,minor_error,yes,cache_mapping_or_replacement_error,直接映射Cache逻辑结构合理，但给定序列实际约为2次命中8次缺失，不是3/7。; 预期统计不一致。
doc_code_repair_v1,Doc/Code v2 复测,E1-Q-3867c9fb5727,COA,计算机组成原理,Cache 映射与替换,doc,minor_error,yes,cache_mapping_or_replacement_error,映射和替换主线正确，但随机替换“不会出现最坏情况”的说法不严谨。
doc_code_repair_v1,Doc/Code v2 复测,E1-Q-735e6bf189b1,COA,计算机组成原理,Cache 映射与替换,code,major_error,no,cache_mapping_or_replacement_error,Verilog中LRU仅用2位却按4路顺序使用，替换状态不自洽，难以验证预期行为。; 核心LRU结构设计错误。
