rerating_id,batch_id,old_triplet_id,course_name,topic,agent_id,final_assignment,decision_source,adjudication_id,confidence,indistinguishable,exact_profile_matches,full_match,pairwise_correct,pairwise_order_accuracy,extreme_pair_correct,extreme_reversed
LC-T-07716924823197,formal_phase_a_path,E1-T-2f5b8a9c60c4,计算机组成原理,虚地址翻译,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-0c706a4eb06246,qwen_unseen_doc_path,E1-T-b0ef761217b7,操作系统,TLB 快表命中与缺失处理,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-0d2a06048284d1,qwen_unseen_doc_path,E1-T-8ab19499a67a,数据结构与算法,最小生成树 Prim 算法,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-0dfa48fae36d0f,deepseek_unseen_doc_path,E1-T-af44d00cdcf8,数据结构与算法,哈希表冲突处理与负载因子,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-0e007eb7656807,doc_contract_retest,E1-T-54e2806843cb,计算机网络,TCP 三次握手,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-0e3d5b844f1feb,formal_phase_a_path,E1-T-f5a446aa09b4,操作系统,进程调度,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-0f5f5ef11bcac6,doc_contract_retest,E1-T-df1d082acd39,计算机网络,拥塞控制,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-14ff154ce5df9b,deepseek_unseen_doc_path,E1-T-783e15d18fd0,计算机网络,QUIC 与 HTTP/3,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-1988ee0a3ac134,doc_contract_retest,E1-T-4b6f6da1a50c,计算机组成原理,流水线数据冒险,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-1a3912049ef355,qwen_unseen_doc_path,E1-T-d8d06364c325,操作系统,TLB 快表命中与缺失处理,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
