version_id,documented_on,stage,metric_or_rule,threshold,scope,status_in_manuscript,source_document,interpretation
T1,2026-07-25,before formal generation,overall DCR,>=0.75,weighted five-agent title gate,documented-before-run engineering criterion,E1画像响应性预实验方案与标注手册_v1_2026-07-25.md,Legacy directional-correctness construct; FM must not be substituted for DCR
T1,2026-07-25,before formal generation,agent DCR,at least four agents >=0.70 and every agent >=0.60,five-agent title gate,documented-before-run engineering criterion,E1画像响应性预实验方案与标注手册_v1_2026-07-25.md,Legacy agent-level directional-correctness construct
T1,2026-07-25,before formal generation,agent reverse rate,<=0.15,each agent,documented-before-run engineering criterion,E1画像响应性预实验方案与标注手册_v1_2026-07-25.md,Directionality criterion
T1,2026-07-25,before formal generation,evaluable tasks,>=16 of 20,each agent,documented-before-run engineering criterion,E1画像响应性预实验方案与标注手册_v1_2026-07-25.md,Minimum valid-task criterion
T1,2026-07-25,before formal generation,weighted kappa or ICC,>=0.60,human ratings,documented-before-run engineering criterion,E1画像响应性预实验方案与标注手册_v1_2026-07-25.md,Reliability gate; the later six-category complete-assignment kappa is related but not identical
T2,2026-07-29,after initial A/B scoring,FM POA EC ER QG-FM,report point estimates,formal Phase A,descriptive reporting metrics,E1_正式阶段A_全量300初步评分与待裁决清单_2026-07-29.md,These metrics operationalized the triplet-ranking analysis but did not replace T1 retroactively
T3,2026-07-30,after formal Phase A,EC and ER,EC >=0.75 and ER <=0.15,Path Doc and Code diagnostic retests,development-set diagnostic criterion,E1_正式阶段A_论文可用结论与补实验决策单_2026-07-30.md,Post-Phase-A criterion for targeted retesting rather than a confirmatory Phase A threshold
T3,2026-07-30,after formal Phase A,QG-FM,>=0.70,Path Doc and Code diagnostic retests,development-set diagnostic criterion,E1_Path-only修复复测方案_2026-07-30.md; E1_DocCode修复复测方案_2026-07-30.md,Post-Phase-A diagnostic threshold
T3,2026-07-30,after formal Phase A,domain quality floor pass,>=0.95,Doc and Code diagnostic retests,development-set diagnostic criterion,E1_DocCode修复复测方案_2026-07-30.md,Post-Phase-A diagnostic threshold
T4,2026-08-02,after formal Phase A,unseen-topic and second-model analyses,report estimates intervals and paired tests,Doc Code and Path robustness analyses,frozen supplemental analysis plan,四项补实验冻结方案与执行预检_2026-08-02.md,Supplemental plan froze tasks models and analyses but did not define a new system-level pass threshold
